MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch
08:B6:1F:75:ED:80,2025:03:06 17:55:02:300,-49.44,0.05,1.46,-0.03,1.54
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:300,451.33,205.36,-54.92,-1.83,-1.13
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:300,-17.62,-4.46,-0.09,1.59,1.32
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:300,-16.13,2.26,-1.31,1.04,-1.41
08:B6:1F:75:ED:80,2025:03:06 17:55:02:400,-498.47,-60.42,56.39,0.82,1.41
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:400,265.4,-71.38,87.05,0.69,-1.17
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:400,-6.05,0.34,-0.5,0.59,-1.47
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:400,-94.72,-10.18,0.17,1.55,1.46
08:B6:1F:75:ED:80,2025:03:06 17:55:02:500,208.41,27.2,-28.81,0.76,1.38
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:500,43.15,-10.18,9.23,0.83,-1.26
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:500,2.35,0.26,0.56,2.71,1.31
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:500,-88.83,-1.46,-0.78,-1.08,-1.55
08:B6:1F:75:ED:80,2025:03:06 17:55:02:600,-111.59,-50.95,38.76,0.92,1.05
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:600,8.24,-3.08,1.41,1.14,-1.18
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:600,-119.83,-17.58,-35.17,2.68,1.25
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:600,-6.68,0.33,-0.09,1.29,-1.52
08:B6:1F:75:ED:80,2025:03:06 17:55:02:700,-71.9,-13.07,33.13,0.38,1.11
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:700,11.52,-4.13,2.54,1.02,-1.17
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:700,11.52,-4.13,2.54,1.02,-1.17
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:700,-138.07,11.85,13.07,-0.74,1.44
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:700,-0.28,0.0,-0.01,0.05,-1.53
08:B6:1F:75:ED:80,2025:03:06 17:55:02:800,21.47,3.78,-13.32,0.28,1.0
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:800,-18.13,5.5,-3.01,1.07,-1.24
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:800,1.78,0.04,0.13,-0.31,-1.5
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:800,27.87,0.79,-5.17,0.15,1.39
08:B6:1F:75:ED:80,2025:03:06 17:55:02:900,86.92,-39.7,5.82,-1.72,1.14
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:900,379.13,-43.29,-106.26,-0.39,1.28
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:900,-3.81,-1.74,-0.26,-1.42,-1.14
08:B6:1F:75:ED:80,2025:03:06 17:55:03:000,-171.66,82.29,261.04,-0.31,0.56
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:03:000,-485.08,140.82,-258.47,-2.64,1.03
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:03:000,47.75,-82.64,136.83,0.54,-0.29
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:03:100,18.71,-73.74,518.4,-3.0,0.04
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:03:100,-1925.3,-566.6,1384.23,0.39,0.91
08:D1:F9:DC:8F:80,2025:03:06 17:55:03:100,-188.98,0.49,-50.59,0.01,-1.31
08:B6:1F:75:ED:80,2025:03:06 17:55:03:100,-1109.43,117.11,-47.48,-1.96,1.46
08:B6:1F:75:ED:80,2025:03:06 17:55:03:200,791.02,347.28,51.45,1.72,1.15
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:03:200,1481.73,96.03,1469.56,-0.07,-0.79
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:03:200,43.94,-149.01,-122.57,2.26,-0.22
08:D1:F9:DC:8F:80,2025:03:06 17:55:03:200,2797.75,-1466.37,921.85,1.01,-1.02
08:B6:1F:75:ED:80,2025:03:06 17:55:03:300,379.71,-130.7,-69.48,-1.08,1.2
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:03:300,63.89,-332.54,187.19,1.06,-0.17
08:D1:F9:DC:8F:80,2025:03:06 17:55:03:300,-1271.78,2707.14,-659.63,-1.81,0.43
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:03:300,-169.54,69.99,-358.01,-2.95,0.44
08:B6:1F:75:ED:80,2025:03:06 17:55:03:400,-897.83,82.16,384.08,-0.21,1.16
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:03:400,632.65,-192.6,92.9,1.12,-1.24
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:03:400,-733.46,-49.56,363.12,0.14,1.11
08:D1:F9:DC:8F:80,2025:03:06 17:55:03:400,-1223.03,-483.21,2133.7,0.22,0.51
08:B6:1F:75:ED:80,2025:03:06 17:55:03:500,-190.0,-26.34,-18.42,2.18,1.4
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:03:500,394.12,-195.4,386.74,0.47,-0.74
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:03:500,-81.71,-50.13,-69.73,2.52,0.76
08:B6:1F:75:ED:80,2025:03:06 17:55:03:600,-320.31,600.57,326.47,2.07,-0.44
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:03:600,635.36,-365.33,1580.77,0.23,-0.37
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:03:600,-1.18,0.62,-1.22,-2.67,0.71
08:D1:F9:DC:8F:80,2025:03:06 17:55:03:600,-22.68,1465.52,213.11,-1.43,0.02
08:B6:1F:75:ED:80,2025:03:06 17:55:03:700,-604.7,-56.62,459.04,0.12,0.92

CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:200,-79.09,18.98,26.39,-0.62,1.18
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:200,-8.25,-1.07,-1.48,-0.63,-1.35
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:10:300,-5.65,2.32,-1.13,1.12,-1.14
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:300,-109.08,-20.41,-7.1,1.91,1.38
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:300,-11.39,-1.36,-1.43,-0.76,-1.4
08:B6:1F:75:ED:80,2025:03:06 17:55:10:300,-248.2,-49.28,-2.63,1.62,1.37
08:B6:1F:75:ED:80,2025:03:06 17:55:10:400,-45.9,-0.72,10.2,0.07,1.35
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:10:400,-25.85,9.01,-5.34,1.04,-1.19
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:400,95.92,20.53,16.11,2.24,1.31
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:400,-7.16,-1.22,-1.17,-0.81,-1.34
08:B6:1F:75:ED:80,2025:03:06 17:55:10:500,82.02,10.78,-42.7,0.25,1.08
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:10:500,-17.48,5.97,-3.95,0.99,-1.18
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:500,158.31,0.57,-19.74,0.03,1.45
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:500,-12.16,-1.83,-2.21,-0.69,-1.34
08:B6:1F:75:ED:80,2025:03:06 17:55:10:600,-232.05,-51.07,-23.32,2.0,1.33
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:10:600,-0.21,0.1,-0.03,1.26,-1.12
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:600,-331.01,-52.49,-12.31,1.8,1.41
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:600,-28.87,-1.87,-4.34,-0.41,-1.41
08:B6:1F:75:ED:80,2025:03:06 17:55:10:700,65.45,-2.6,5.7,-2.71,1.48
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:10:700,-2.02,0.63,-0.36,1.06,-1.23
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:700,-6.58,-1.27,-0.35,1.84,1.37
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:700,0.53,0.1,0.08,-0.89,-1.32
08:B6:1F:75:ED:80,2025:03:06 17:55:10:800,259.83,-4.98,-37.02,-0.13,1.43
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:10:800,-24.97,8.85,-5.19,1.04,-1.18
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:800,163.69,59.18,82.56,2.52,1.02
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:800,0.83,0.12,0.19,-0.57,-1.31
08:B6:1F:75:ED:80,2025:03:06 17:55:10:900,-456.24,-82.34,85.54,0.77,1.32
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:10:900,8.2,-4.27,1.54,1.22,-1.07
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:10:900,-497.31,-115.58,-67.31,2.1,1.31
08:D1:F9:DC:8F:80,2025:03:06 17:55:10:900,-26.01,-1.16,-3.31,-0.34,-1.44
08:B6:1F:75:ED:80,2025:03:06 17:55:11:000,42.01,-2.03,-3.17,-0.57,1.48
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:11:000,-12.56,4.47,-2.53,1.06,-1.18
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:11:000,153.29,41.2,38.66,2.32,1.22
08:D1:F9:DC:8F:80,2025:03:06 17:55:11:000,-1.7,-0.24,-0.21,-0.84,-1.38
08:B6:1F:75:ED:80,2025:03:06 17:55:11:100,85.64,14.29,-5.14,1.23,1.4
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:11:100,-3.24,1.13,-0.57,1.1,-1.2
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:11:100,25.11,7.67,10.92,2.53,1.08
08:D1:F9:DC:8F:80,2025:03:06 17:55:11:100,-19.46,-2.04,-2.95,-0.61,-1.39
08:B6:1F:75:ED:80,2025:03:06 17:55:11:200,-146.09,-24.78,0.77,1.54,1.4
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:11:200,-3.97,1.72,-0.89,1.09,-1.12
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:11:200,-71.49,-19.6,-16.08,2.26,1.23
08:D1:F9:DC:8F:80,2025:03:06 17:55:11:200,-13.67,-0.74,-2.04,-0.35,-1.41
08:B6:1F:75:ED:80,2025:03:06 17:55:11:300,69.66,-10.71,-8.87,-0.88,1.37
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:11:300,319.09,-39.98,471.73,0.08,-0.59
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:11:300,176.08,103.79,142.25,2.51,0.79
08:D1:F9:DC:8F:80,2025:03:06 17:55:11:300,-113.18,-39.29,-20.48,-1.09,-1.2
08:B6:1F:75:ED:80,2025:03:06 17:55:11:400,75.05,-24.64,-3.69,-1.42,1.25
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:11:400,-67.33,85.53,2.69,1.6,-0.67
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:11:400,1.87,0.42,1.17,2.8,0.99
08:D1:F9:DC:8F:80,2025:03:06 17:55:11:400,-27.43,2.58,1.82,2.18,-1.46
08:B6:1F:75:ED:80,2025:03:06 17:55:11:500,-783.18,246.36,142.73,-1.05,1.22
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:11:500,67.73,419.18,63.97,1.72,0.16
